conf;r1;r2;r3;r4;r5
PSO1;204.249973716;247.956689274;238.931139925;262.809759836;203.112861637
PSO2;300.578746396;290.006094322;299.724884122;334.737936521;320.236057843
PSO3;441.069318102;407.518336675;397.27511055;439.342751522;433.330174511
PSO4;379.239531687;429.345170773;392.859709006;379.113154154;402.378007891
RS;374.654472811;375.854650149;405.966801963;378.629684402;318.449054784
